Date,Less than HS,High school,Some college,Bachelor degree,Advanced degree,Less than HS Share,High school Share,Some college Share,Bachelor degree Share,Advanced degree Share,Men Less than HS,Men High school,Men Some college,Men Bachelor degree,Men Advanced degree,Men Less than HS Share,Men High school Share,Men Some college Share,Men Bachelor degree Share,Men Advanced degree Share,Women Less than HS,Women High school,Women Some college,Women Bachelor degree,Women Advanced degree,Women Less than HS Share,Women High school Share,Women Some college Share,Women Bachelor degree Share,Women Advanced degree Share,White Less than HS,White High school,White Some college,White Bachelor degree,White Advanced degree,White Less than HS Share,White High school Share,White Some college Share,White Bachelor degree Share,White Advanced degree Share,Black Less than HS,Black High school,Black Some college,Black Bachelor degree,Black Advanced degree,Black Less than HS Share,Black High school Share,Black Some college Share,Black Bachelor degree Share,Black Advanced degree Share,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor degree,Hispanic Advanced degree,Hispanic Less than HS Share,Hispanic High school Share,Hispanic Some college Share,Hispanic Bachelor degree Share,Hispanic Advanced degree Share,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor degree,White Men Advanced degree,White Men Less than HS Share,White Men High school Share,White Men Some college Share,White Men Bachelor degree Share,White Men Advanced degree Share,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor degree,Black Men Advanced degree,Black Men Less than HS Share,Black Men High school Share,Black Men Some college Share,Black Men Bachelor degree Share,Black Men Advanced degree Share,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor degree,Hispanic Men Advanced degree,Hispanic Men Less than HS Share,Hispanic Men High school Share,Hispanic Men Some college Share,Hispanic Men Bachelor degree Share,Hispanic Men Advanced degree Share,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor degree,White Women Advanced degree,White Women Less than HS Share,White Women High school Share,White Women Some college Share,White Women Bachelor degree Share,White Women Advanced degree Share,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor degree,Black Women Advanced degree,Black Women Less than HS Share,Black Women High school Share,Black Women Some college Share,Black Women Bachelor degree Share,Black Women Advanced degree Share,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor degree,Hispanic Women Advanced degree,Hispanic Women Less than HS Share,Hispanic Women High school Share,Hispanic Women Some college Share,Hispanic Women Bachelor degree Share,Hispanic Women Advanced degree Share
2019,$14.08,$18.91,$20.97,$34.63,$45.07,8.0%,26.1%,27.7%,24.3%,13.8%,$15.33,$20.96,$23.58,$39.99,$52.38,9.3%,28.9%,26.4%,22.9%,12.5%,$12.20,$16.15,$18.44,$29.55,$38.64,6.7%,23.1%,29.2%,25.9%,15.3%,$13.88,$20.04,$22.26,$35.90,$45.29,4.5%,24.4%,28.2%,27.3%,15.6%,$12.40,$16.37,$17.86,$27.81,$37.33,6.3%,30.7%,32.7%,19.9%,10.3%,$14.60,$17.88,$19.23,$30.35,$40.80,22.0%,32.4%,26.3%,13.7%,5.7%,$15.43,$22.35,$25.25,$41.74,$53.19,5.1%,27.5%,27.3%,26.1%,14.1%,$13.17,$17.67,$19.24,$29.48,$40.95,6.9%,34.1%,31.7%,19.2%,8.0%,$15.67,$19.51,$21.27,$34.70,$45.64,25.4%,34.7%,23.5%,11.8%,4.6%,$11.74,$16.79,$19.24,$30.14,$38.30,3.9%,21.1%,29.1%,28.6%,17.2%,$11.62,$15.01,$16.75,$26.48,$35.32,5.8%,27.8%,33.6%,20.5%,12.3%,$12.67,$15.47,$17.20,$26.37,$36.96,17.7%,29.4%,29.6%,16.1%,7.2%
2018,$13.93,$18.79,$20.70,$33.96,$44.59,8.2%,25.9%,28.3%,24.1%,13.5%,$15.47,$20.72,$23.25,$39.29,$52.18,9.4%,28.8%,26.7%,22.7%,12.3%,$11.67,$16.15,$18.27,$28.86,$37.74,6.9%,22.8%,30.0%,25.6%,14.7%,$14.02,$20.11,$21.98,$35.38,$45.26,4.7%,24.2%,28.7%,27.3%,15.2%,$11.63,$15.85,$17.46,$27.96,$36.89,6.6%,30.4%,33.9%,18.9%,10.2%,$14.36,$17.59,$19.00,$29.00,$39.17,22.7%,32.1%,26.3%,13.5%,5.4%,$15.70,$22.27,$24.83,$41.31,$53.54,5.2%,27.3%,27.6%,26.1%,13.8%,$12.47,$16.91,$19.06,$29.20,$40.56,6.6%,34.5%,32.1%,18.3%,8.4%,$15.77,$19.26,$21.15,$32.56,$44.80,26.3%,34.3%,23.4%,11.5%,4.4%,$11.76,$17.06,$19.13,$29.52,$37.84,4.1%,20.9%,29.8%,28.5%,16.6%,$10.90,$14.69,$16.23,$26.96,$34.64,6.5%,26.8%,35.5%,19.4%,11.7%,$11.77,$15.10,$16.85,$25.75,$34.39,18.2%,29.2%,29.9%,16.1%,6.6%
2017,$13.91,$18.58,$20.37,$33.77,$43.16,8.4%,26.1%,28.7%,23.6%,13.2%,$15.40,$20.51,$22.64,$38.88,$49.60,9.7%,28.9%,27.1%,22.3%,12.1%,$11.70,$15.99,$18.20,$28.85,$37.35,7.0%,23.2%,30.4%,24.9%,14.4%,$13.94,$19.85,$21.54,$35.01,$43.71,4.7%,24.6%,29.1%,26.8%,14.8%,$12.17,$15.67,$17.30,$27.51,$35.55,7.2%,31.0%,34.1%,17.9%,9.8%,$14.28,$17.32,$18.86,$28.90,$38.38,23.8%,31.3%,26.2%,13.3%,5.4%,$15.57,$21.96,$24.12,$40.58,$50.36,5.2%,27.6%,28.0%,25.8%,13.4%,$13.11,$17.00,$18.43,$30.06,$38.98,7.3%,34.6%,32.8%,17.1%,8.1%,$15.65,$18.95,$20.61,$32.00,$44.20,27.6%,33.5%,23.2%,11.5%,4.3%,$11.76,$16.90,$18.98,$29.50,$37.77,4.2%,21.3%,30.4%,28.0%,16.2%,$11.35,$14.27,$16.39,$25.51,$33.43,7.1%,27.9%,35.2%,18.6%,11.3%,$11.67,$14.87,$17.13,$25.94,$33.58,18.8%,28.6%,30.2%,15.6%,6.8%
2016,$13.50,$18.35,$20.40,$33.84,$43.37,8.6%,26.3%,29.2%,23.0%,13.0%,$14.81,$20.11,$22.70,$39.30,$50.43,10.1%,28.8%,27.2%,21.8%,12.0%,$11.45,$16.01,$18.25,$28.54,$36.85,7.0%,23.5%,31.3%,24.2%,14.0%,$13.44,$19.55,$21.51,$34.91,$43.56,4.8%,24.8%,29.7%,26.0%,14.6%,$11.78,$15.68,$17.72,$28.05,$36.05,7.4%,31.2%,34.4%,17.8%,9.2%,$14.00,$17.01,$18.64,$29.95,$38.38,24.3%,31.3%,26.6%,12.3%,5.5%,$14.82,$21.61,$24.02,$40.88,$50.79,5.6%,27.5%,28.3%,25.0%,13.6%,$12.80,$16.67,$19.36,$30.90,$39.79,7.7%,35.5%,32.0%,17.0%,7.8%,$15.18,$18.39,$20.47,$34.03,$44.39,28.2%,32.9%,23.2%,11.0%,4.6%,$11.34,$16.78,$19.08,$29.03,$36.91,3.9%,21.9%,31.2%,27.1%,15.8%,$10.85,$14.60,$16.49,$25.83,$33.68,7.2%,27.5%,36.4%,18.5%,10.5%,$11.71,$14.95,$16.83,$25.70,$33.01,19.2%,29.1%,31.0%,13.9%,6.8%
2015,$13.32,$18.18,$20.25,$33.16,$42.31,8.8%,26.5%,29.2%,22.9%,12.6%,$14.53,$20.03,$22.71,$37.98,$49.21,10.3%,28.8%,27.3%,22.0%,11.7%,$11.44,$15.77,$17.94,$28.43,$35.96,7.1%,23.9%,31.3%,24.0%,13.6%,$13.40,$19.33,$21.42,$34.24,$42.81,4.9%,25.1%,29.9%,25.8%,14.3%,$11.92,$15.40,$17.12,$28.02,$35.94,7.1%,31.5%,34.5%,17.9%,9.0%,$13.50,$16.88,$18.35,$28.97,$36.71,25.7%,31.1%,26.1%,12.0%,5.0%,$14.99,$21.46,$24.15,$39.66,$50.13,5.6%,27.6%,28.5%,25.2%,13.1%,$12.71,$16.54,$18.42,$29.88,$41.54,7.6%,36.0%,31.9%,17.1%,7.3%,$14.44,$18.28,$20.38,$32.00,$42.37,29.8%,32.4%,23.1%,10.6%,4.1%,$11.08,$16.51,$18.77,$28.73,$36.19,4.1%,22.4%,31.5%,26.5%,15.5%,$11.17,$14.16,$16.17,$26.58,$32.65,6.7%,27.8%,36.5%,18.5%,10.4%,$11.73,$14.84,$16.30,$25.96,$31.78,20.5%,29.3%,30.1%,14.0%,6.2%
2014,$12.81,$17.77,$19.64,$31.87,$41.30,8.7%,27.1%,29.6%,22.5%,12.1%,$13.94,$19.57,$21.81,$35.95,$47.73,10.3%,29.3%,27.8%,21.3%,11.3%,$11.01,$15.48,$17.59,$27.94,$35.25,7.0%,24.7%,31.6%,23.8%,12.9%,$13.04,$18.92,$20.71,$32.86,$41.47,4.9%,26.0%,30.3%,25.3%,13.6%,$11.74,$15.38,$16.95,$26.93,$35.01,7.4%,31.5%,35.3%,16.8%,9.0%,$12.91,$16.10,$17.66,$27.78,$38.75,25.7%,31.4%,26.2%,12.2%,4.6%,$14.55,$21.04,$23.15,$37.39,$48.09,5.5%,28.4%,28.9%,24.5%,12.7%,$12.48,$16.67,$18.15,$27.67,$38.24,8.6%,35.2%,33.1%,15.8%,7.3%,$13.85,$17.21,$19.37,$30.73,$45.92,30.0%,32.7%,23.1%,10.4%,3.8%,$10.96,$16.17,$18.34,$28.36,$35.31,4.2%,23.4%,31.7%,26.2%,14.5%,$10.90,$14.06,$16.07,$26.38,$33.10,6.4%,28.5%,37.1%,17.7%,10.3%,$11.02,$14.46,$15.92,$24.93,$32.47,20.0%,29.5%,30.3%,14.4%,5.7%
2013,$12.77,$17.75,$19.66,$32.33,$42.41,8.8%,26.9%,30.0%,22.4%,11.8%,$13.86,$19.47,$21.90,$36.99,$49.23,10.5%,29.0%,27.9%,21.4%,11.2%,$11.03,$15.59,$17.58,$27.78,$35.85,7.0%,24.8%,32.3%,23.5%,12.5%,$12.90,$18.82,$20.70,$33.35,$42.94,4.9%,25.9%,30.7%,25.3%,13.2%,$11.71,$15.43,$16.93,$27.19,$36.34,7.3%,31.3%,35.4%,17.3%,8.6%,$12.96,$16.07,$17.66,$28.08,$38.47,26.8%,31.4%,25.9%,11.4%,4.5%,$14.30,$20.83,$23.30,$38.40,$50.15,5.6%,28.1%,29.1%,24.7%,12.6%,$12.58,$16.34,$18.15,$28.99,$40.84,8.0%,34.7%,33.7%,16.3%,7.2%,$13.81,$17.35,$19.01,$31.71,$44.88,31.5%,32.6%,22.3%,9.7%,3.9%,$10.89,$16.27,$18.23,$28.25,$36.03,4.2%,23.5%,32.5%,25.9%,13.9%,$10.84,$14.50,$16.00,$25.84,$33.55,6.7%,28.5%,36.8%,18.2%,9.7%,$11.18,$14.18,$16.34,$24.64,$32.26,20.4%,29.7%,30.8%,13.8%,5.4%
2012,$12.93,$17.92,$19.71,$32.12,$42.35,9.1%,27.3%,30.0%,22.0%,11.5%,$14.11,$19.79,$21.89,$36.92,$49.16,10.7%,29.4%,27.9%,21.0%,11.1%,$11.12,$15.57,$17.70,$27.48,$35.68,7.4%,25.1%,32.3%,23.2%,12.0%,$13.35,$19.02,$20.64,$33.08,$43.19,5.1%,26.3%,30.9%,24.9%,12.9%,$11.47,$15.65,$17.27,$27.15,$35.73,7.4%,32.1%,35.4%,16.9%,8.2%,$12.92,$16.05,$17.95,$27.33,$37.98,28.0%,31.1%,25.5%,10.9%,4.4%,$14.82,$21.19,$23.09,$38.20,$50.50,5.7%,28.6%,29.1%,24.1%,12.4%,$12.34,$16.85,$18.56,$29.27,$40.71,7.9%,36.1%,33.8%,15.2%,6.9%,$13.91,$17.27,$19.53,$30.87,$42.37,32.6%,32.2%,22.4%,9.1%,3.7%,$11.31,$16.24,$18.32,$27.93,$35.95,4.4%,23.9%,32.7%,25.6%,13.4%,$10.66,$14.44,$16.30,$25.71,$32.73,7.0%,28.8%,36.7%,18.2%,9.3%,$11.02,$14.33,$16.40,$24.10,$34.00,22.0%,29.8%,29.7%,13.1%,5.4%
2011,$13.07,$18.06,$20.01,$31.84,$41.56,9.4%,27.9%,29.8%,21.5%,11.4%,$14.12,$19.93,$22.14,$36.18,$47.31,11.1%,29.9%,27.7%,20.4%,10.9%,$11.42,$15.73,$18.03,$27.64,$35.98,7.6%,25.8%,32.0%,22.6%,12.0%,$13.26,$19.13,$20.82,$32.71,$42.19,5.3%,26.9%,30.8%,24.2%,12.8%,$12.26,$15.58,$17.34,$27.83,$35.04,8.2%,32.7%,34.6%,16.5%,8.0%,$13.07,$16.21,$18.50,$27.44,$38.44,29.2%,31.8%,24.8%,10.1%,4.1%,$14.77,$21.34,$23.21,$37.39,$48.22,5.9%,29.0%,29.2%,23.6%,12.3%,$12.81,$16.67,$18.62,$29.55,$38.02,9.1%,37.0%,32.0%,15.1%,6.8%,$13.87,$17.38,$19.92,$30.21,$42.61,33.7%,32.4%,21.8%,8.7%,3.3%,$11.28,$16.39,$18.57,$28.03,$36.34,4.7%,24.7%,32.5%,24.8%,13.3%,$11.71,$14.47,$16.43,$26.64,$33.21,7.4%,29.2%,36.7%,17.7%,9.0%,$11.41,$14.47,$16.99,$24.63,$34.59,22.9%,30.9%,29.0%,12.1%,5.1%
2010,$13.14,$18.40,$20.59,$32.69,$42.64,9.5%,28.2%,29.6%,21.5%,11.1%,$14.26,$20.34,$22.93,$37.32,$48.81,11.3%,29.9%,27.3%,20.6%,10.9%,$11.43,$16.10,$18.48,$28.25,$36.46,7.7%,26.4%,31.9%,22.5%,11.4%,$13.28,$19.32,$21.37,$33.75,$43.32,5.4%,27.5%,30.5%,24.0%,12.5%,$12.58,$16.12,$18.24,$27.64,$34.34,8.7%,32.6%,34.5%,16.5%,7.7%,$13.11,$16.83,$18.81,$28.69,$41.32,30.0%,31.1%,23.9%,10.9%,4.0%,$14.86,$21.61,$23.99,$38.76,$50.06,6.0%,29.3%,28.7%,23.6%,12.3%,$13.27,$17.14,$19.76,$29.07,$36.41,9.6%,36.0%,32.6%,14.9%,6.8%,$14.00,$18.23,$20.48,$32.75,$45.99,34.7%,32.1%,20.4%,9.2%,3.6%,$11.23,$16.62,$18.98,$28.75,$36.66,4.8%,25.7%,32.4%,24.4%,12.8%,$11.91,$15.14,$17.13,$26.68,$32.97,8.0%,30.0%,35.9%,17.8%,8.3%,$11.27,$14.72,$17.16,$24.81,$36.06,23.5%,29.7%,28.9%,13.4%,4.5%
